,Organization Name,Full Description,Topic Name,Top_n_words
1676,Assignment Support,"Save Money and Time both with our high quality, customised writing services according to your requirement. Assignment Support provides custom written essays, papers and dissertations. We pride ourselves on having highest qualified and broadest academic range of writers in the industry. All selected writers go through rigorous qualification and quality check and then under training. We have dedicated 10+ in-house team who work with having sole aim of giving every customer best experience and the highest quality of work. Ordering anything from UK Assignment Support is simple and straight forward. We help in Essay Writing Dissertation Writing Coursework Writing  Assignment Writing  Homework Help  Paper Writing",15_writing_writers_essay_assignment,writing - writers - essay - assignment - academic - help - services - papers - service - paper
1695,MyDocumenta,"MyDocumenta a powerful cloud-computing platform to create, share & publish multimedia contents. Helps schools to introduce ICT fostering creativity, communication, team work. Is Creative, secure & easy to use. E-portfolio & authoring tool for students & teachers, from Primary to University The student’s e-portfolio. The students ownership of their work:  • Students for their daily work and projects  • Collaborative work between students, teachers  or different schools .  Teacher visual resources platform:  • Teachers who author education content.  • Schools magazines and websites.  • Online learning courses.  • Presentations at conferences, events, etc.  MyDocumenta focuses on promoting creative, active and innovative learning, without requiring technical knowledge. Our goal is not to replace digital books or education management platforms, but to provide a secure collaborative environment where teachers and students can create directly in audiovisual format appropriate for the 21st century.",-1_learning_students_platform_education,learning - students - platform - education - training - online - company - technology - provides - business
1803,12speak!,"12speak! is a global language learning community serving its members an easy and fun way to learn a language in a playful online environment. 12speak! is connecting language learners with native speakers and providing a personalized language vocabulary to be trained with integrated and fun language games. 12speak! believes language learning can be fun and entertaining. Our goal is to provide an online environment where global language learners can meet, chat and practice their individual language skills and have fun learning languages. We provide a way to meet native speakers and learn a language naturally. We provide a way to manage your individual vocabulary and track your progress. We provide a way to train your vocabulary with entertaining language games. We want our members to have fun while learning!",4_language_english_learning_languages,language - english - learning - languages - speaking - learn - native - learners - foreign - people
2190,Geneva Mars,"We’re parents, artists, musicians and engineers. We’re passionate about making fun educational apps for children of all ages. We see touch computing devices as a great way to teach kids. Tablets let you tell a story like a good children’s television show but also allow kids to interact with stories in ways they can’t with a regular TV. Like the early pioneers of educational television, we’re committed to producing fun and educational content on a new, emerging medium.",0_children_kids_parents_games,children - kids - parents - games - child - learning - educational - fun - play - apps
2258,End2End Technical Solutions,"End2End Technical Solutions delivers customer-focused services in the core business areas of information technology, software development, systems engineering, program and project management, management consulting, leadership consulting, cloud development, cyber security, big data and analytics solutions, application development, and training. They offer their services to the department of defense and commercial clients.",3_services_solutions_development_business,services - solutions - development - business - software - clients - digital - web - marketing - management
2272,Allowance-Plus,"Provider of a website focused on financial education, financial planning and family organization. The company allows parents to manage and reward financial behavior to their children in order to educate them on money matters and allow for financial literacy at a young age.",11_financial_loan_money_loans,financial - loan - money - loans - student - credit - finance - education - debt - literacy
2288,The Fast Lab,"The Fast Lab sports coaching and training, endurance sports classes, clinics, and camps, they provide training to sports athletes triathletes, cyclists, runners, and youth everything from soccer to football to lacrosse to volleyball to baseball to track and field. Coaching & training in endurance sports, physical therapy, sports performance analysis, and sports massage.",5_sports_fitness_athletes_coaches,sports - fitness - athletes - coaches - training - players - trainers - sport - personal - health
2556,EdSurge,"EdSurge is the leading site for educators, entrepreneurs and investors involved in education technology. They help educators discover the best products for their students; they inspire developers to build what educators and learners need; they help investors understand the emerging market.  EdSurge is regularly cited as the most influential brand for education technology news and information. EdSurge hosts the most comprehensive database of edtech products, companies, and topics online in addition to more traditional daily reporting of news in the education technology ecosystem. It also runs a vibrant jobs board for entrepreneurs and educators.  Alongside its online presence, EdSurge hosts the San Francisco education technology meetup, a robust nationwide series of Summits, a high-profile awards program called the Digital Innovation in Learning Awards. It is also hosts a service called Edtech Concierge, designed to support education leaders in choosing tools.   The organization itself is operated as a technology-journalism hybrid, employing equal parts technologists, educators and journalists. The company's goal is to promote the smart adoption of education technology through impartial reporting on products and news, research, online community building and services, events and tools.   EdSurge is a venture-backed company that has also received grants from the Bill & Melinda Gates Foundation.",10_education_students_online_educational,education - students - online - educational - platform - learning - teachers - educators - edtech - company
2621,iSpye,"iSpye is a social travel application that shows places, events and people around you, in real time. The app is a travel social network that connects users and provides real time information about venues and events, relative to the users location. All content is user generated and users can find out the most popular, trending or nearby occurrences.  The aim is to provide users with a platform that allows them to discover the best things to see and do upon arriving in a new place. Built with the student ‘backpacker’ ethos at the forefront, iSpye is building a community of people who believe there are no boundaries, no such thing as too many travel connections and will never say no to a valuable life experience! The app has been built for iOS and Android devices. Version 1 has three main features, which are as follows:  •	News Feed – venues and events are displayed as pins, which are categorised and shown in the users feed in a list format. There are two features of the feed: Discover and Buzz.  Discover displays pins closest to the user and Buzz shows pins that are tending i.e. the most popular pins at any given time, relative to the users location. The popularity of a pin is defined by the community either upping or downing that pin and a trend is started by the first users activity. A user may up or down a pin through either the Discover tab (most likely while attending the pin or the morning after) or the Buzz tab (to contribute to the trend). The purpose of a users activity is to inform the community of their current experience at a venue or event and not, like tripadvisor, to rate the venue or event itself. A user may vote a pin up or down once every 24 hours, so if they return to the venue or event at a later date they may vote again. The aim is to provide the community with an accurate idea of which venues are the best or busiest at any point in time.  •	Mapping – users can drop pins to represent venues found or events occurring. Each pin is displayed at its exact location on a map and can be seen by all members of the iSpye community. By clicking on a pin, users can instantly see how many times the pin has been upped and down. The user is able to gather further information by opening the pins page. A page displays statistics (number of ups, number of downs, %age of male voters, %age of female voters and average age of voters), thoughts and IM profiles of recent users who voted on the page. Thoughts are posted by users and describe their experience of the venue. Users looking at the page are able to gain a sense of whether or not they should attend the venue or event simply by looking at the statistics, thoughts and/ or by chatting via IM (next bullet point) to users who are currently at or have previously been to the pin.   •	Instant Messaging – users can communicate with other users of the iSpye community via Instant Messages. Users are displayed according to their location and a user may chat with another user to find out information about their current or past experience(s) of a pin. The best source of information comes from locals and the IM client allows all users to obtain information in real time. The IM tab also has built in search functionality, allowing users to search for users in other cities. The purpose of search is to allow a user to begin gathering information on the city they are about to visit and meet likeminded people prior to their arrival.  iSpye allows users to tap into a global community of travellers and locals to gain an instant insight into the best and busiest places around them. iSpye will officially launch in October 2013.",14_video_users_content_videos,video - users - content - videos - knowledge - information - share - people - platform - social
3137,SkimaTalk,"SkimaTalk is an online language-learning platform. Their goal is to connect language students with native language speakers from the world’s top universities, enabling individuals around the world to learn new languages in an easy, affordable, and safe manner – all via Skype. They truly believe they can break the traditional barriers to language learning and make learning a new language both fun and affordable.",4_language_english_learning_languages,language - english - learning - languages - speaking - learn - native - learners - foreign - people
3313,Alchemy Learning,"Developer of virtual reality and web-based educational tools created to provide a mobile-ready service for disseminating immersive and interactive virtual reality learning experiences. The company's virtual reality and web-based educational tools bring content and expertise to learners through highly innovative and impactful VR technologies, enabling teachers to build and deliver digital lessons.",9_reality_vr_virtual_ar,reality - vr - virtual - ar - augmented - immersive - training - 3d - technology - learning
3538,So i Heard Music,"These days, kids are practically born with an iPad in their hands. The goal of So.i.Heard House of Music is to teach students music in their own tech-savvy language, and to provide guided and tracked private music lessons in a fun environment that’s more like a music college. Students learn how to play an instrument, read, write, and record music, all within a fun, safe, and high-tech environment built for K-12. We teach piano lessons, drum lessons, voice lessons, guitar lessons, songwriting lessons, and more, in our Millburn, NJ studio.",21_music_piano_musical_guitar,music - piano - musical - guitar - lessons - play - musicians - audio - learn - instruments
3866,Airuup,"Airuup is online language learning platform.It connects learners,teachers and language schools across the world.One can learn any language he/she wants from a professional teacher/language school and practice the language with a native speaker for free. You can also find resource material from professional teachers.",4_language_english_learning_languages,language - english - learning - languages - speaking - learn - native - learners - foreign - people
4049,Peekaboo,"Peekaboo is the biggest community in Italy of founders, mentors and advisors who work together to create and grow startups in the pre-acceleration phase. Our mission is to help companies and individuals to take the most difficult step, the first one! To do this we offer entrepreneurial support, connecting the original ideas of young entrepreneurs with companies that can support their projects through Open Innovation strategies, by creating business modeling programs and accelerating possible partnerships with other companies.  Our activities can be synthesized into 4 main categories: - Lean Startup Program (Rome/Milan) - Open Innovation Management - Vertical pre acceleration - Startup Program Online In the last two years we have supported more than 100 digital projects by applying methodologies, tools and technologies adopted by the best companies in Silicon Valley.",1_entrepreneurs_startup_startups_business,entrepreneurs - startup - startups - business - entrepreneurship - innovation - companies - founders - capital - venture
4160,Etueri,"Etueri offers educational tools to students and professionals enabling them to become better compared to traditional methods of education. It also aims to lower the price of private tutoring and give access to quality teachers to anyone who wants to learn. The company offers an online education platform that provides private lessons with specialized tutors via a virtual classroom. It provides its users with online tutorials as well as questions and answers in English, physics, chemistry, and mathematics. The company plans to offer its services not only to private clients, but also to students with few resources and disadvantaged institutions. Etueri was founded in January 2013 and is based in Madrid, Spain.",10_education_students_online_educational,education - students - online - educational - platform - learning - teachers - educators - edtech - company
4652,LearningAisle,"LearningAisle believes in creating a world where a high quality  private school education doesn't mean high cost . Their goal is to disrupt and level the playing field in education by providing the entire K-12 curriculum for FREE along with a student community contributed by anyone and benefiting everyone Using social learning technology, LearningAisle has created a K12 learning environment for students that mirrors the rigor and qualities of an Ivy-League school. Student use their virtual learning environment to advance academically, question and push each other’ thinking, teach and learn from peers, and be better equipped to think through things and make good decisions in life. In LearningAisle, students and parents can browse K-12 content and select those that suit any learning style, method and pace – choose entire grades, or just individual units or lessons from any subject. Access is provided to 10,000 pages of instructional content, 21,000 assessment questions; videos from Khan Academy, PBS,and the History Channel; plus, interactive educational games. Students get to ""own"" their study plan by creating ‘study lists’ (like iTunes playlists) and learning what they like and how they like to. The learning platform encourages, ""super learning,"" by helping students collaborate with their peers or by choosing their own teachers and mentors. Students learn from shared study resources, teacher instructions and parent inputs… all together! Parents get to become active advisers in their kids' learning in supportive and collegial ways.",17_learning_teachers_students_data,learning - teachers - students - data - student - platform - school - content - schools - k12
4670,Peak Fitness,"""Peak Fitness is the Hill Country's Premier Sports Performance Training Center! WHY? We provide sports specific training for athletes of ALL ages and for EVERY sport- all in a state of the art, indoor, climate controlled environment. Our new facility features 25 yards of turf, utilizing the most innovative protocols and equipment in speed and agility training. We have over 20 fitness and wellness professionals available to help you reach you personal fitness goals. Our team includes Certified Group Exercise Instructors, Certified Personal Trainers, CrossFit & Sports Performance Coaches, Nutrition and Endurance Specialists- all for you. We want to help you achieve your personal fitness goals!""",5_sports_fitness_athletes_coaches,sports - fitness - athletes - coaches - training - players - trainers - sport - personal - health
4685,PenBlock,"PenBlock is a virtual bookshelf for readers and authors. It is an easier way to discover your next great book. Our mission is simple: provide readers a simpler way to find books.  How It Works  • Create bookshelves of books you are reading or want to read  • Share your recommendations and book reviews  • Connect with friends, see what they are reading  • Explore and discover great books!  Part of a Book Club?  Our multi-person sharing allows you to easily share your bookshelves with your book club. Upload your latest book reviews and make recommendations for your next read.",8_books_reading_book_readers,books - reading - book - readers - read - authors - publishing - publishers - textbooks - platform
5008,Universal Tutors,Universal Tutors is creating a platform that allows tutors to sell their services in anyway they choose. Our goal is to build the biggest network of tutors offering in-person and online tutoring.,13_tutors_tutoring_tutor_students,tutors - tutoring - tutor - students - online - help - subjects - homework - platform - academic
5428,music & audiotion,"music & audiotion is a music institute. The aim of learning music is the development of audition. Audiation describes the ability to hear music in the head that is not acoustically present. Through audiation customers can understand music, improvise and sing and make music expressively and fluently. Audiation is to music what thought is to speech. Their aims are to promote, develop, research, and teach music learning theory. They support innovative approaches to music education and artistic projects in the spirit of music learning theory.",21_music_piano_musical_guitar,music - piano - musical - guitar - lessons - play - musicians - audio - learn - instruments
6067,Aidhenscorner,Aidhen's Corner provides busy parents with educational and fun activities for their kids. It is an online platform that allows its members to find things to do with kids based on their age.,0_children_kids_parents_games,children - kids - parents - games - child - learning - educational - fun - play - apps
6103,Admitster,"Admitster is a startup company that launched its platform in August of 2014. We provide expert college admissions advice that will help students get into the best college possible. We have a freemium model for individual high school students, we sell a variety of admissions services, and we currently have 54,000 registered users, half outside of the U.S - for foreign students who want very much to go to American colleges. Our goal is to ""Own the Journey to College"" where students and families use our site for all their college-bound needs - using our services and those of our partners. We have a ""dream team"" of college admissions founders, with unique knowledge and data about the chances kids have to get into nearly 3,000 American colleges and universities.",2_college_students_universities_university,college - students - universities - university - education - colleges - student - higher - campus - international
6126,Support4America,"Support4America specializes in helping individuals reach financial freedom from student loans and medical bills. It delivers customer-centric experiences to consumers whose needs are not being met by the banks. It provides its users with the education and financial awareness they need to take control of their debts. It helps its users improve their money management skills, modify their financial behavior for the better, and avoid debt recovery judgments. The company offers its users with medical billing, student loan consolidation, financial services, and technology planning. Support4America was founded in 2014.",11_financial_loan_money_loans,financial - loan - money - loans - student - credit - finance - education - debt - literacy
6701,JG Health Solutions,"Mobile application revolutionizing test preparation. The company is aimed to make studying fun for both students and professors. The application will be available on all mobile devices and online to access as many students as possible. All questions in the application will be relevant to whatever test the student is currently studying for, whether, a standardized test or just an exam for class.",20_test_exam_exams_prep,test - exam - exams - prep - tests - practice - students - questions - preparation - study
6741,Upperline Code,"Upperline School of Code has built fun, rigorous, and collaborative programming classes for high school students.  We teach students how to code through our immersive summer courses, workshops, and after-school programs throughout the New York City area.  Our students learn to build web applications using the same tools that professionals are using throughout the tech industry (Ruby, HTML, CSS, SQL, Javascript, iOS development). We push their students to build real apps, learn coding best-practices, and get exposure to the technology sector through guest speakers and company visits.",7_coding_code_programming_learn,coding - code - programming - learn - computer - tech - students - development - science - developers
6832,Musician's Toolkit,"Musician's Toolkit is the most current online video learning library for music education. We believe that music makes better people, that's why we spend countless hours providing the tools and resources needed for music educators, music education majors, parents, and music enthusiasts to make their musical learning or teaching experience as simple and convenient as possible. Our videos are all original and feature top music instructors from around the United States. Additionally, they cover various instructional categories, including instrument tutorials, educator workshops, masterclasses, interviews with music celebrities and music industry professionals, and more.  Come play a part in the future of music education!",21_music_piano_musical_guitar,music - piano - musical - guitar - lessons - play - musicians - audio - learn - instruments
6948,Find My Profession,"Find My Profession is an elite career services provider founded in 2015. Our passion is helping job seekers find the career of their dreams. We do this through our two main offerings: 1. Resume, LinkedIn, Cover Letter and More: 100% Professional Resume Writers (PRWs). We pride ourselves on the fact that we only hire elite PRWs who provide the highest quality service in the industry. Our resume writers have experience in 85+ different career types and we match you with a writer based on relevant experience. 2. Professionally Managed Job Search (Career Coaching): Our Career Coaching Service was designed to make your life easier. Never want to search for a job or fill out an application again? Hire the pros at Find My Profession to manage your job search. For More Info - FINDMYPROFESSION.COM",6_career_job_talent_candidates,career - job - talent - candidates - jobs - employers - resume - hiring - recruitment - skills
7329,Guardian Bookshop,"The Guardian and books go hand in hand: they publish books, they review books, they partner with literature festivals and have their own book awards. In short, they are passionate about books and know that their readers are too. With so many books published each week, they at the Guardian Bookshop want to help you find the very best among the 200,000 titles available from their site.  They work hard to provide the best possible deals on the books they review, the books they publish and by sourcing competitive offers on books they think you’ll love. In some cases, their prices even beat those of a certain well-known online competitor.",8_books_reading_book_readers,books - reading - book - readers - read - authors - publishing - publishers - textbooks - platform
